Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100384,0.984 ,-1.995 ,-1.793 ,0.695 ,0.234 ,0.334 
100385,0.768 ,-1.368 ,-2.324 ,0.449 ,0.096 ,0.252 
100386,0.877 ,-1.086 ,-2.551 ,0.399 ,0.319 ,0.340 
100387,1.076 ,-0.848 ,-2.056 ,0.615 ,0.374 ,0.403 
100388,1.096 ,-0.480 ,-1.491 ,1.056 ,0.300 ,0.374 
100389,1.293 ,-0.523 ,-1.532 ,0.879 ,0.519 ,0.528 
100390,1.594 ,-0.691 ,-1.453 ,0.245 ,0.588 ,0.351 
100391,1.946 ,-0.588 ,-1.119 ,-0.454 ,0.536 ,0.574 
100392,2.320 ,-0.436 ,-0.840 ,-0.567 ,0.687 ,0.766 
100393,2.518 ,-0.402 ,-0.718 ,-0.406 ,0.783 ,0.665 
100394,2.620 ,-0.341 ,-0.648 ,-0.273 ,0.801 ,0.610 
100395,2.953 ,-0.227 ,-0.418 ,0.119 ,0.685 ,0.892 
100396,2.847 ,-0.263 ,-0.074 ,0.589 ,0.065 ,1.157 
100397,2.640 ,-0.267 ,-0.032 ,0.978 ,-0.560 ,1.359 
100398,2.503 ,-0.692 ,0.311 ,1.194 ,-1.327 ,1.301 
100399,2.223 ,-1.168 ,0.718 ,0.908 ,-2.217 ,1.479 
100400,-0.319 ,-1.490 ,-0.378 ,0.904 ,0.039 ,-1.541 
100401,-0.232 ,-2.286 ,1.432 ,1.138 ,-0.365 ,-0.901 
100402,0.054 ,-2.342 ,0.784 ,1.092 ,-0.005 ,-1.002 
100403,0.553 ,-2.384 ,-0.998 ,0.948 ,0.415 ,-0.658 
100404,0.715 ,-2.130 ,-1.509 ,0.841 ,0.431 ,-0.151 
100405,0.782 ,-1.660 ,-2.182 ,0.470 ,0.760 ,-0.079 
100406,0.613 ,-1.174 ,-2.696 ,0.289 ,0.496 ,-0.072 
100407,0.663 ,-0.902 ,-2.490 ,0.278 ,0.328 ,0.231 
100408,0.748 ,-0.447 ,-2.115 ,0.668 ,0.174 ,0.492 
100409,0.802 ,-0.674 ,-2.012 ,0.931 ,0.284 ,0.493 
100410,0.885 ,-1.003 ,-1.988 ,0.461 ,0.398 ,0.085 
100411,1.193 ,-0.664 ,-1.953 ,-0.402 ,0.183 ,0.300 
100412,1.549 ,-0.559 ,-1.620 ,-0.551 ,0.533 ,0.305 
100413,1.773 ,-0.556 ,-1.539 ,-0.746 ,0.881 ,0.046 
100414,2.035 ,-0.324 ,-1.457 ,-1.026 ,0.917 ,0.165 
100415,2.368 ,-0.032 ,-1.040 ,-0.849 ,0.783 ,0.486 
100416,2.393 ,0.022 ,-0.771 ,-0.175 ,0.210 ,0.738 
100417,2.298 ,0.076 ,-0.698 ,0.486 ,-0.301 ,0.958 
100418,2.105 ,0.058 ,-0.283 ,0.999 ,-1.185 ,1.217 
100419,1.959 ,-0.452 ,0.716 ,0.381 ,-2.200 ,1.407 
100420,-0.957 ,-1.661 ,1.915 ,1.124 ,-0.628 ,-0.752 
100421,-0.595 ,-1.617 ,1.187 ,1.081 ,-0.274 ,-0.973 
100422,0.278 ,-1.878 ,-0.625 ,1.086 ,0.727 ,-1.142 
100423,0.537 ,-1.860 ,-1.562 ,0.795 ,0.978 ,-0.710 
100424,0.458 ,-1.422 ,-2.410 ,0.305 ,0.731 ,-0.374 
100425,0.612 ,-0.708 ,-2.385 ,0.252 ,0.558 ,0.154 
100426,0.570 ,-0.370 ,-2.128 ,0.407 ,0.230 ,0.501 
100427,0.600 ,-0.586 ,-2.300 ,0.497 ,0.293 ,0.551 
100428,0.436 ,-0.954 ,-2.445 ,0.546 ,0.217 ,0.290 
100429,0.674 ,-0.775 ,-2.313 ,0.027 ,0.426 ,0.051 
100430,0.912 ,-0.619 ,-2.010 ,-0.259 ,0.808 ,-0.157 
100431,1.214 ,-0.623 ,-1.998 ,-0.626 ,0.997 ,-0.317 
100432,1.596 ,-0.356 ,-1.872 ,-1.355 ,0.950 ,-0.022 
100433,1.852 ,-0.127 ,-1.556 ,-1.153 ,0.657 ,0.301 
100434,1.901 ,0.075 ,-1.163 ,-0.581 ,0.202 ,0.542 
100435,1.944 ,0.260 ,-0.883 ,-0.335 ,-0.310 ,0.891 
100436,1.778 ,0.464 ,-0.580 ,0.105 ,-1.108 ,1.233 
100437,-1.312 ,-1.246 ,1.622 ,1.051 ,-0.639 ,-0.780 
100438,-0.695 ,-1.342 ,0.747 ,0.988 ,0.154 ,-1.028 
100439,-0.274 ,-1.122 ,-1.055 ,0.677 ,0.606 ,-1.157 
100440,0.174 ,-1.423 ,-2.005 ,0.458 ,0.664 ,-0.565 
100441,0.439 ,-1.057 ,-1.599 ,0.570 ,0.545 ,-0.196 
100442,0.497 ,-0.679 ,-1.978 ,0.463 ,0.374 ,0.293 
100443,0.397 ,-0.682 ,-2.204 ,0.290 ,0.262 ,0.349 
100444,0.316 ,-0.733 ,-2.490 ,0.203 ,0.290 ,0.212 
100445,0.158 ,-0.655 ,-2.735 ,0.259 ,0.386 ,-0.042 
100446,0.352 ,-0.518 ,-2.657 ,-0.298 ,0.661 ,-0.228 
100447,0.607 ,-0.589 ,-2.285 ,-0.368 ,0.856 ,-0.333 
100448,1.273 ,-0.351 ,-1.873 ,-1.052 ,0.809 ,-0.035 
100449,1.512 ,-0.145 ,-1.701 ,-1.156 ,0.579 ,0.304 
100450,1.612 ,-0.051 ,-1.418 ,-0.712 ,0.155 ,0.591 
100451,1.680 ,0.083 ,-0.872 ,-0.428 ,-0.425 ,0.909 
100452,1.457 ,0.314 ,-0.775 ,0.028 ,-1.236 ,1.243 
100453,1.208 ,0.749 ,-0.176 ,-0.361 ,-2.107 ,1.425 
100454,-0.488 ,-2.671 ,-1.254 ,1.567 ,-0.115 ,-0.922 
100455,-0.979 ,-1.849 ,-1.248 ,1.258 ,-0.371 ,-1.177 
100456,-1.139 ,-1.228 ,-1.942 ,1.305 ,-0.288 ,-0.832 
100457,-1.319 ,-1.007 ,-2.088 ,1.790 ,-0.109 ,-0.841 
100458,-1.585 ,-0.918 ,-0.864 ,1.685 ,-0.285 ,-0.915 
100459,-1.690 ,-0.504 ,-0.049 ,0.804 ,-0.295 ,-1.115 
100460,-1.520 ,0.370 ,-1.225 ,0.227 ,0.059 ,-1.246 
100461,-1.197 ,-0.049 ,-1.206 ,0.369 ,0.008 ,-0.988 
100462,-0.371 ,-0.687 ,-0.724 ,0.933 ,0.094 ,-0.755 
100463,0.138 ,-0.788 ,-1.666 ,0.650 ,0.310 ,-0.139 
100464,-0.032 ,-0.873 ,-2.262 ,0.317 ,0.239 ,-0.083 
100465,-0.039 ,-0.701 ,-2.728 ,-0.028 ,0.354 ,-0.101 
100466,-0.050 ,-0.470 ,-3.070 ,-0.391 ,0.538 ,-0.164 
100467,-0.123 ,-0.549 ,-3.175 ,-0.440 ,0.504 ,-0.291 
100468,0.165 ,-0.690 ,-2.706 ,-0.456 ,0.692 ,-0.283 
100469,0.683 ,-0.456 ,-2.125 ,-0.842 ,0.721 ,-0.266 
100470,1.127 ,-0.127 ,-1.835 ,-1.135 ,0.494 ,0.159 
100471,1.362 ,-0.106 ,-1.363 ,-0.992 ,0.155 ,0.547 
100472,-1.554 ,-1.552 ,0.172 ,1.397 ,-0.434 ,-1.123 
100473,-1.505 ,-0.985 ,-0.429 ,1.307 ,-0.291 ,-1.189 
100474,-1.515 ,-0.829 ,-0.898 ,1.467 ,-0.227 ,-1.093 
100475,-1.687 ,-0.605 ,-0.905 ,1.400 ,-0.313 ,-1.078 
100476,-2.155 ,0.124 ,-1.212 ,1.044 ,-0.411 ,-1.157 
100477,-2.159 ,1.151 ,-2.431 ,0.514 ,-0.110 ,-1.393 
100478,-1.911 ,1.099 ,-2.178 ,0.210 ,-0.063 ,-1.259 
100479,-1.618 ,0.425 ,-1.274 ,0.271 ,-0.094 ,-1.173 
100480,-0.471 ,-0.404 ,-1.927 ,0.639 ,-0.015 ,-0.412 
100481,-0.423 ,-0.610 ,-2.494 ,0.211 ,-0.066 ,-0.360 
100482,-0.365 ,-0.667 ,-2.776 ,-0.059 ,0.128 ,-0.226 
100483,-0.326 ,-0.433 ,-2.985 ,-0.283 ,0.271 ,-0.203 
100484,-0.427 ,-0.726 ,-2.858 ,-0.353 ,0.302 ,-0.389 
100485,-0.135 ,-0.889 ,-2.649 ,-0.417 ,0.570 ,-0.400 
100486,0.213 ,-0.648 ,-2.282 ,-0.608 ,0.619 ,-0.348 
100487,0.806 ,-0.396 ,-1.822 ,-1.086 ,0.382 ,0.046 
100488,1.020 ,-0.250 ,-1.175 ,-0.990 ,-0.099 ,0.462 
100489,1.268 ,-0.083 ,-0.658 ,-1.163 ,-0.634 ,1.080 
100490,-1.319 ,-0.969 ,-0.772 ,1.392 ,0.145 ,-1.460 
100491,-1.583 ,-0.716 ,-0.498 ,1.649 ,0.197 ,-2.033 
100492,-1.877 ,-0.383 ,-0.424 ,1.432 ,-0.158 ,-1.823 
100493,-2.352 ,0.479 ,-0.767 ,0.880 ,-0.563 ,-1.346 
100494,-2.488 ,1.391 ,-1.619 ,0.376 ,-0.374 ,-1.559 
100495,-2.301 ,1.416 ,-2.514 ,0.505 ,-0.117 ,-1.487 
100496,-2.056 ,0.945 ,-2.041 ,0.550 ,-0.069 ,-1.560 
100497,-1.058 ,0.323 ,-2.316 ,0.464 ,0.002 ,-0.967 
100498,-0.769 ,-0.181 ,-2.826 ,0.286 ,-0.219 ,-0.356 
100499,-0.699 ,-0.524 ,-2.597 ,0.264 ,-0.312 ,-0.166 
100500,-0.596 ,-0.576 ,-2.687 ,0.176 ,0.018 ,-0.154 
100501,-0.468 ,-0.833 ,-2.743 ,-0.014 ,0.277 ,-0.307 
100502,-0.336 ,-0.901 ,-2.672 ,-0.250 ,0.411 ,-0.400 
100503,-0.018 ,-0.668 ,-2.335 ,-0.644 ,0.393 ,-0.282 
100504,0.504 ,-0.576 ,-1.979 ,-1.000 ,0.156 ,0.098 
100505,0.800 ,-0.395 ,-1.399 ,-0.858 ,-0.258 ,0.451 
100506,0.958 ,-0.135 ,-0.832 ,-0.726 ,-0.845 ,1.037 
100507,0.013 ,1.150 ,-0.939 ,-2.775 ,-2.330 ,1.226 
100508,-1.510 ,-0.971 ,-0.435 ,2.048 ,0.483 ,-2.326 
100509,-1.736 ,-0.809 ,-0.470 ,1.965 ,0.208 ,-2.034 
100510,-2.194 ,0.233 ,-0.211 ,1.110 ,-0.380 ,-1.357 
100511,-2.392 ,1.084 ,-1.369 ,0.713 ,-0.320 ,-1.152 
100512,-2.492 ,1.188 ,-2.001 ,0.710 ,-0.155 ,-1.278 
100513,-2.444 ,0.983 ,-1.480 ,0.599 ,-0.089 ,-1.925 
100514,-1.675 ,0.811 ,-2.539 ,0.734 ,0.069 ,-1.461 
100515,-1.459 ,0.287 ,-1.619 ,0.603 ,-0.228 ,-1.390 
100516,-0.882 ,-0.189 ,-2.113 ,0.440 ,-0.239 ,-0.664 
100517,-0.542 ,-0.536 ,-2.239 ,0.508 ,-0.021 ,-0.393 
100518,-0.484 ,-0.797 ,-2.336 ,0.242 ,0.203 ,-0.376 
100519,-0.448 ,-0.751 ,-2.536 ,-0.175 ,0.274 ,-0.356 
100520,-0.242 ,-0.608 ,-2.461 ,-0.460 ,0.126 ,-0.141 
100521,0.242 ,-0.515 ,-2.045 ,-1.016 ,0.061 ,0.212 
100522,0.487 ,-0.426 ,-1.664 ,-0.778 ,-0.265 ,0.287 
100523,0.607 ,-0.091 ,-1.208 ,-0.947 ,-0.597 ,0.586 
100524,-1.154 ,-1.108 ,-0.129 ,2.420 ,0.451 ,-1.753 
100525,-1.506 ,-1.098 ,0.583 ,2.454 ,0.122 ,-1.793 
100526,-1.798 ,-0.336 ,0.418 ,1.640 ,-0.237 ,-1.098 
