Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100126,6.286 ,1.015 ,0.748 ,-0.945 ,1.376 ,-0.068 
100127,6.310 ,1.364 ,1.187 ,-1.056 ,0.654 ,-0.422 
100128,5.393 ,1.788 ,1.397 ,-0.120 ,-1.635 ,-0.869 
100129,5.202 ,-1.846 ,0.438 ,-1.713 ,0.464 ,0.465 
100130,5.229 ,-1.594 ,0.415 ,-1.889 ,0.607 ,0.617 
100131,5.551 ,-0.826 ,0.402 ,-1.891 ,0.660 ,-0.104 
100132,5.425 ,-0.416 ,0.319 ,-2.177 ,0.533 ,-0.154 
100133,5.082 ,-0.055 ,-0.148 ,-2.145 ,0.461 ,-0.283 
100134,5.253 ,1.039 ,-0.306 ,-2.092 ,0.657 ,0.026 
100135,5.801 ,0.513 ,0.585 ,-1.854 ,1.280 ,-0.175 
100136,5.933 ,0.407 ,0.431 ,-1.122 ,1.472 ,-0.146 
100137,6.134 ,0.884 ,0.864 ,-1.051 ,0.978 ,-0.372 
100138,5.339 ,1.237 ,0.892 ,-0.215 ,-0.874 ,-0.695 
100139,4.908 ,-2.114 ,0.593 ,-1.562 ,0.040 ,1.452 
100140,4.921 ,-1.563 ,0.358 ,-2.126 ,0.241 ,1.562 
100141,4.997 ,-1.099 ,0.263 ,-2.214 ,0.290 ,1.295 
100142,4.889 ,-0.683 ,0.223 ,-2.504 ,0.084 ,0.604 
100143,4.644 ,-0.444 ,-0.063 ,-2.797 ,-0.136 ,0.183 
100144,4.925 ,0.322 ,-0.230 ,-2.384 ,0.452 ,-0.210 
100145,5.668 ,0.183 ,0.232 ,-2.276 ,1.109 ,-0.098 
100146,5.915 ,0.063 ,0.282 ,-2.080 ,1.423 ,-0.177 
100147,6.009 ,0.565 ,0.451 ,-1.201 ,1.242 ,-0.258 
100148,5.506 ,0.990 ,0.629 ,-0.430 ,-0.174 ,-0.525 
100149,4.850 ,1.393 ,0.829 ,0.640 ,-1.707 ,-0.697 
100150,4.332 ,-1.801 ,-0.120 ,-1.208 ,-0.096 ,1.767 
100151,4.521 ,-1.498 ,-0.077 ,-2.069 ,0.124 ,1.749 
100152,4.489 ,-1.353 ,-0.207 ,-2.093 ,0.126 ,1.674 
100153,4.271 ,-0.864 ,-0.139 ,-2.491 ,-0.286 ,1.571 
100154,4.134 ,-0.562 ,-0.188 ,-2.844 ,-0.631 ,1.145 
100155,4.667 ,0.022 ,-0.502 ,-2.629 ,0.120 ,-0.136 
100156,5.279 ,0.152 ,-0.158 ,-2.558 ,0.796 ,-0.026 
100157,5.470 ,0.290 ,-0.145 ,-2.456 ,0.877 ,-0.016 
100158,5.582 ,0.353 ,0.000 ,-1.733 ,0.919 ,-0.185 
100159,5.207 ,0.798 ,-0.087 ,-0.557 ,-0.039 ,-0.329 
100160,4.904 ,1.189 ,0.175 ,0.543 ,-1.305 ,-0.473 
100161,3.746 ,-1.551 ,-0.728 ,-1.074 ,0.048 ,2.039 
100162,4.054 ,-1.239 ,-0.389 ,-2.188 ,0.132 ,1.944 
100163,4.087 ,-0.973 ,-0.558 ,-2.578 ,-0.016 ,1.894 
100164,3.848 ,-0.689 ,-1.089 ,-2.463 ,-0.312 ,1.902 
100165,3.882 ,-0.616 ,-0.629 ,-2.738 ,-0.447 ,1.589 
100166,4.069 ,-0.346 ,-1.200 ,-2.227 ,-0.072 ,0.477 
100167,4.328 ,0.061 ,-1.310 ,-2.284 ,0.364 ,0.170 
100168,4.626 ,0.086 ,-1.190 ,-2.101 ,0.485 ,0.144 
100169,4.706 ,-0.007 ,-0.796 ,-1.577 ,0.275 ,-0.234 
100170,4.859 ,0.770 ,-0.297 ,-1.268 ,-0.218 ,-0.400 
100171,4.651 ,1.141 ,-0.557 ,0.447 ,-0.863 ,-0.255 
100172,4.350 ,1.357 ,-0.534 ,1.938 ,-1.459 ,-0.197 
100173,3.494 ,-1.374 ,-0.794 ,-1.361 ,-0.089 ,1.955 
100174,3.567 ,-1.269 ,-0.591 ,-1.758 ,0.090 ,1.994 
100175,3.624 ,-0.907 ,-0.779 ,-2.435 ,-0.058 ,1.957 
100176,3.517 ,-0.927 ,-1.412 ,-2.413 ,-0.204 ,1.996 
100177,3.530 ,-1.361 ,-1.294 ,-2.261 ,-0.197 ,1.748 
100178,3.771 ,-1.147 ,-0.584 ,-2.807 ,-0.066 ,1.399 
100179,3.758 ,-0.291 ,-1.486 ,-2.717 ,0.212 ,0.846 
100180,4.272 ,0.058 ,-1.185 ,-2.567 ,0.452 ,0.060 
100181,4.516 ,-0.178 ,-0.761 ,-2.006 ,0.297 ,-0.334 
100182,4.537 ,0.394 ,-0.722 ,-1.447 ,-0.052 ,-0.344 
100183,4.689 ,0.849 ,-0.683 ,-0.398 ,-0.307 ,-0.237 
100184,4.500 ,1.021 ,-0.695 ,1.143 ,-0.923 ,-0.188 
100185,3.363 ,-1.903 ,-0.591 ,-0.954 ,-0.311 ,1.810 
100186,3.354 ,-1.890 ,-0.640 ,-1.401 ,0.201 ,1.818 
100187,3.339 ,-1.448 ,-0.907 ,-2.095 ,0.251 ,1.874 
100188,3.359 ,-1.288 ,-1.028 ,-2.424 ,-0.161 ,1.810 
100189,3.059 ,-1.513 ,-1.430 ,-1.713 ,-0.477 ,1.783 
100190,3.465 ,-1.368 ,-0.996 ,-2.606 ,0.009 ,1.664 
