Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100050,0.000 ,0.463 ,0.001 ,0.003 ,0.013 ,0.000 ,0.005 ,0.022 ,0.591 ,0.002 ,0.001 ,0.002 ,0.000 ,0.008 ,0.008 ,0.000 ,0.486 ,0.004 ,0.013 ,0.102 ,0.096 ,0.000 ,0.059 
100051,0.000 ,0.415 ,0.001 ,0.000 ,0.016 ,0.001 ,0.004 ,0.021 ,0.503 ,0.003 ,0.001 ,0.002 ,0.000 ,0.012 ,0.007 ,0.001 ,0.412 ,0.002 ,0.033 ,0.048 ,0.034 ,0.000 ,0.055 
100052,0.000 ,0.478 ,0.009 ,0.023 ,0.001 ,0.000 ,0.006 ,0.005 ,0.702 ,0.001 ,0.000 ,0.001 ,0.000 ,0.001 ,0.001 ,0.000 ,0.736 ,0.001 ,0.001 ,0.171 ,0.073 ,0.000 ,0.253 
100053,0.000 ,0.480 ,0.005 ,0.024 ,0.001 ,0.000 ,0.006 ,0.008 ,0.692 ,0.001 ,0.000 ,0.001 ,0.000 ,0.001 ,0.002 ,0.000 ,0.682 ,0.001 ,0.002 ,0.158 ,0.091 ,0.000 ,0.156 
100054,0.000 ,0.470 ,0.003 ,0.008 ,0.002 ,0.000 ,0.005 ,0.010 ,0.669 ,0.002 ,0.000 ,0.001 ,0.000 ,0.002 ,0.003 ,0.000 ,0.633 ,0.002 ,0.002 ,0.132 ,0.082 ,0.000 ,0.107 
100055,0.000 ,0.476 ,0.002 ,0.005 ,0.003 ,0.000 ,0.005 ,0.015 ,0.638 ,0.002 ,0.000 ,0.001 ,0.000 ,0.003 ,0.004 ,0.000 ,0.577 ,0.002 ,0.003 ,0.117 ,0.083 ,0.000 ,0.069 
100056,0.000 ,0.449 ,0.001 ,0.009 ,0.009 ,0.001 ,0.005 ,0.013 ,0.666 ,0.002 ,0.001 ,0.001 ,0.000 ,0.007 ,0.005 ,0.000 ,0.548 ,0.002 ,0.008 ,0.118 ,0.124 ,0.000 ,0.093 
100057,0.000 ,0.389 ,0.001 ,0.001 ,0.012 ,0.001 ,0.003 ,0.013 ,0.566 ,0.002 ,0.000 ,0.001 ,0.000 ,0.010 ,0.006 ,0.001 ,0.437 ,0.001 ,0.024 ,0.049 ,0.037 ,0.000 ,0.060 
100058,0.000 ,0.484 ,0.012 ,0.048 ,0.001 ,0.000 ,0.006 ,0.005 ,0.712 ,0.001 ,0.000 ,0.001 ,0.000 ,0.001 ,0.002 ,0.000 ,0.739 ,0.001 ,0.001 ,0.188 ,0.091 ,0.000 ,0.255 
100059,0.000 ,0.485 ,0.010 ,0.052 ,0.002 ,0.000 ,0.009 ,0.009 ,0.687 ,0.001 ,0.000 ,0.001 ,0.000 ,0.002 ,0.003 ,0.000 ,0.674 ,0.002 ,0.002 ,0.177 ,0.114 ,0.001 ,0.181 
100060,0.000 ,0.469 ,0.005 ,0.018 ,0.003 ,0.000 ,0.007 ,0.010 ,0.676 ,0.002 ,0.000 ,0.001 ,0.000 ,0.002 ,0.003 ,0.000 ,0.641 ,0.002 ,0.003 ,0.148 ,0.106 ,0.000 ,0.142 
