Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100011,0.000 ,0.437 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.004 ,0.591 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.569 ,0.000 ,0.000 ,0.020 ,0.004 ,0.000 ,0.017 
100012,0.000 ,0.432 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.004 ,0.583 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.541 ,0.000 ,0.001 ,0.024 ,0.003 ,0.000 ,0.016 
100013,0.000 ,0.457 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.004 ,0.540 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.003 ,0.000 ,0.445 ,0.000 ,0.002 ,0.028 ,0.001 ,0.000 ,0.010 
100014,0.000 ,0.499 ,0.005 ,0.000 ,0.000 ,0.000 ,0.000 ,0.005 ,0.517 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.005 ,0.000 ,0.302 ,0.001 ,0.003 ,0.040 ,0.000 ,0.000 ,0.011 
100015,0.000 ,0.475 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.006 ,0.561 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.564 ,0.000 ,0.000 ,0.023 ,0.002 ,0.000 ,0.016 
100016,0.000 ,0.475 ,0.000 ,0.000 ,0.001 ,0.000 ,0.001 ,0.005 ,0.584 ,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.595 ,0.000 ,0.000 ,0.030 ,0.006 ,0.000 ,0.028 
100017,0.000 ,0.433 ,0.000 ,0.000 ,0.002 ,0.000 ,0.002 ,0.005 ,0.595 ,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.601 ,0.000 ,0.000 ,0.038 ,0.014 ,0.000 ,0.043 
100018,0.000 ,0.397 ,0.001 ,0.001 ,0.002 ,0.000 ,0.001 ,0.005 ,0.629 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.001 ,0.000 ,0.595 ,0.000 ,0.001 ,0.036 ,0.018 ,0.000 ,0.045 
100019,0.000 ,0.390 ,0.003 ,0.002 ,0.004 ,0.000 ,0.000 ,0.003 ,0.580 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.005 ,0.000 ,0.409 ,0.000 ,0.010 ,0.027 ,0.006 ,0.000 ,0.019 
100020,0.000 ,0.478 ,0.006 ,0.000 ,0.001 ,0.000 ,0.000 ,0.007 ,0.547 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.006 ,0.000 ,0.382 ,0.001 ,0.004 ,0.063 ,0.001 ,0.000 ,0.021 
100021,0.000 ,0.465 ,0.000 ,0.000 ,0.001 ,0.000 ,0.002 ,0.007 ,0.572 ,0.002 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.580 ,0.000 ,0.000 ,0.045 ,0.011 ,0.000 ,0.041 
100022,0.000 ,0.450 ,0.000 ,0.000 ,0.002 ,0.000 ,0.004 ,0.008 ,0.540 ,0.002 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.552 ,0.000 ,0.000 ,0.048 ,0.021 ,0.000 ,0.055 
100023,0.000 ,0.426 ,0.000 ,0.000 ,0.002 ,0.000 ,0.005 ,0.007 ,0.584 ,0.002 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.000 ,0.574 ,0.000 ,0.000 ,0.058 ,0.033 ,0.000 ,0.067 
100024,0.000 ,0.403 ,0.000 ,0.000 ,0.002 ,0.000 ,0.001 ,0.006 ,0.574 ,0.002 ,0.000 ,0.000 ,0.000 ,0.002 ,0.001 ,0.000 ,0.554 ,0.000 ,0.002 ,0.041 ,0.006 ,0.000 ,0.029 
100025,0.000 ,0.428 ,0.002 ,0.001 ,0.003 ,0.000 ,0.000 ,0.007 ,0.578 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.005 ,0.000 ,0.480 ,0.001 ,0.008 ,0.054 ,0.006 ,0.000 ,0.036 
100026,0.000 ,0.475 ,0.010 ,0.001 ,0.001 ,0.000 ,0.001 ,0.009 ,0.571 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.006 ,0.000 ,0.476 ,0.001 ,0.004 ,0.083 ,0.004 ,0.000 ,0.051 
100027,0.000 ,0.505 ,0.001 ,0.000 ,0.000 ,0.000 ,0.006 ,0.007 ,0.583 ,0.002 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.590 ,0.000 ,0.000 ,0.068 ,0.010 ,0.000 ,0.074 
100028,0.000 ,0.472 ,0.001 ,0.000 ,0.001 ,0.000 ,0.009 ,0.007 ,0.593 ,0.002 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.586 ,0.000 ,0.000 ,0.083 ,0.030 ,0.000 ,0.100 
100029,0.000 ,0.433 ,0.001 ,0.000 ,0.002 ,0.000 ,0.011 ,0.008 ,0.574 ,0.002 ,0.000 ,0.000 ,0.000 ,0.002 ,0.001 ,0.000 ,0.564 ,0.000 ,0.000 ,0.081 ,0.060 ,0.000 ,0.105 
100030,0.000 ,0.403 ,0.001 ,0.001 ,0.003 ,0.000 ,0.007 ,0.007 ,0.596 ,0.002 ,0.000 ,0.000 ,0.000 ,0.003 ,0.001 ,0.000 ,0.581 ,0.000 ,0.001 ,0.071 ,0.070 ,0.000 ,0.097 
100031,0.000 ,0.394 ,0.001 ,0.001 ,0.004 ,0.000 ,0.005 ,0.007 ,0.639 ,0.002 ,0.000 ,0.000 ,0.000 ,0.003 ,0.001 ,0.000 ,0.594 ,0.000 ,0.001 ,0.073 ,0.064 ,0.000 ,0.094 
100032,0.000 ,0.432 ,0.004 ,0.007 ,0.003 ,0.000 ,0.004 ,0.008 ,0.630 ,0.001 ,0.000 ,0.001 ,0.000 ,0.003 ,0.003 ,0.000 ,0.615 ,0.001 ,0.003 ,0.095 ,0.039 ,0.000 ,0.119 
100033,0.000 ,0.472 ,0.014 ,0.005 ,0.001 ,0.000 ,0.003 ,0.010 ,0.606 ,0.000 ,0.000 ,0.001 ,0.000 ,0.001 ,0.004 ,0.000 ,0.586 ,0.001 ,0.003 ,0.112 ,0.013 ,0.000 ,0.122 
100034,0.000 ,0.494 ,0.001 ,0.000 ,0.000 ,0.000 ,0.004 ,0.008 ,0.567 ,0.003 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.601 ,0.001 ,0.000 ,0.061 ,0.008 ,0.000 ,0.063 
100035,0.000 ,0.471 ,0.001 ,0.000 ,0.001 ,0.000 ,0.009 ,0.007 ,0.612 ,0.002 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.610 ,0.000 ,0.000 ,0.085 ,0.024 ,0.000 ,0.119 
100036,0.000 ,0.444 ,0.001 ,0.000 ,0.002 ,0.000 ,0.012 ,0.008 ,0.610 ,0.002 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.594 ,0.000 ,0.000 ,0.096 ,0.053 ,0.000 ,0.126 
100037,0.000 ,0.414 ,0.001 ,0.001 ,0.003 ,0.000 ,0.008 ,0.007 ,0.615 ,0.002 ,0.000 ,0.000 ,0.000 ,0.002 ,0.001 ,0.000 ,0.587 ,0.000 ,0.001 ,0.083 ,0.066 ,0.000 ,0.106 
100038,0.000 ,0.405 ,0.001 ,0.002 ,0.004 ,0.000 ,0.007 ,0.008 ,0.620 ,0.002 ,0.000 ,0.000 ,0.000 ,0.003 ,0.001 ,0.000 ,0.592 ,0.001 ,0.001 ,0.081 ,0.066 ,0.000 ,0.107 
100039,0.000 ,0.437 ,0.005 ,0.008 ,0.003 ,0.000 ,0.005 ,0.009 ,0.620 ,0.001 ,0.000 ,0.001 ,0.000 ,0.003 ,0.003 ,0.000 ,0.614 ,0.001 ,0.004 ,0.099 ,0.034 ,0.000 ,0.132 
100040,0.000 ,0.484 ,0.002 ,0.000 ,0.001 ,0.000 ,0.006 ,0.009 ,0.563 ,0.003 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.615 ,0.001 ,0.001 ,0.075 ,0.011 ,0.000 ,0.083 
100041,0.000 ,0.482 ,0.002 ,0.000 ,0.001 ,0.000 ,0.012 ,0.007 ,0.615 ,0.003 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.618 ,0.001 ,0.000 ,0.100 ,0.024 ,0.000 ,0.145 
100042,0.000 ,0.459 ,0.002 ,0.001 ,0.002 ,0.000 ,0.013 ,0.008 ,0.614 ,0.002 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.609 ,0.001 ,0.000 ,0.101 ,0.052 ,0.000 ,0.142 
100043,0.000 ,0.432 ,0.001 ,0.000 ,0.002 ,0.000 ,0.007 ,0.009 ,0.592 ,0.003 ,0.000 ,0.000 ,0.000 ,0.002 ,0.001 ,0.000 ,0.580 ,0.001 ,0.001 ,0.074 ,0.035 ,0.000 ,0.079 
100044,0.000 ,0.420 ,0.002 ,0.003 ,0.003 ,0.000 ,0.007 ,0.010 ,0.612 ,0.002 ,0.000 ,0.001 ,0.000 ,0.003 ,0.002 ,0.000 ,0.589 ,0.001 ,0.003 ,0.087 ,0.046 ,0.000 ,0.103 
100045,0.000 ,0.451 ,0.005 ,0.002 ,0.002 ,0.000 ,0.004 ,0.011 ,0.574 ,0.003 ,0.000 ,0.001 ,0.000 ,0.002 ,0.003 ,0.000 ,0.589 ,0.002 ,0.005 ,0.100 ,0.018 ,0.000 ,0.100 
100046,0.000 ,0.492 ,0.007 ,0.001 ,0.001 ,0.000 ,0.025 ,0.012 ,0.594 ,0.003 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.607 ,0.002 ,0.000 ,0.118 ,0.023 ,0.000 ,0.175 
100047,0.000 ,0.463 ,0.005 ,0.002 ,0.001 ,0.000 ,0.021 ,0.008 ,0.626 ,0.003 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.628 ,0.001 ,0.000 ,0.123 ,0.044 ,0.000 ,0.202 
100048,0.000 ,0.444 ,0.003 ,0.002 ,0.002 ,0.000 ,0.015 ,0.008 ,0.628 ,0.003 ,0.000 ,0.000 ,0.000 ,0.002 ,0.001 ,0.000 ,0.614 ,0.001 ,0.001 ,0.115 ,0.060 ,0.000 ,0.156 
100049,0.000 ,0.442 ,0.001 ,0.000 ,0.002 ,0.000 ,0.009 ,0.011 ,0.584 ,0.003 ,0.000 ,0.000 ,0.000 ,0.002 ,0.001 ,0.000 ,0.577 ,0.001 ,0.001 ,0.086 ,0.035 ,0.000 ,0.081 
100050,0.000 ,0.443 ,0.003 ,0.001 ,0.003 ,0.000 ,0.010 ,0.014 ,0.568 ,0.004 ,0.000 ,0.001 ,0.000 ,0.003 ,0.003 ,0.000 ,0.566 ,0.002 ,0.004 ,0.091 ,0.037 ,0.000 ,0.091 
100051,0.000 ,0.463 ,0.005 ,0.001 ,0.002 ,0.000 ,0.004 ,0.013 ,0.524 ,0.006 ,0.000 ,0.001 ,0.000 ,0.002 ,0.003 ,0.000 ,0.572 ,0.002 ,0.006 ,0.081 ,0.015 ,0.000 ,0.078 
100052,0.000 ,0.478 ,0.022 ,0.007 ,0.001 ,0.000 ,0.053 ,0.009 ,0.634 ,0.003 ,0.000 ,0.001 ,0.000 ,0.001 ,0.001 ,0.000 ,0.643 ,0.002 ,0.000 ,0.174 ,0.062 ,0.002 ,0.382 
100053,0.000 ,0.452 ,0.014 ,0.008 ,0.002 ,0.000 ,0.037 ,0.009 ,0.627 ,0.003 ,0.000 ,0.001 ,0.000 ,0.002 ,0.001 ,0.000 ,0.637 ,0.002 ,0.001 ,0.146 ,0.073 ,0.001 ,0.286 
100054,0.000 ,0.446 ,0.007 ,0.003 ,0.002 ,0.000 ,0.020 ,0.010 ,0.620 ,0.003 ,0.000 ,0.001 ,0.000 ,0.002 ,0.001 ,0.000 ,0.628 ,0.002 ,0.001 ,0.127 ,0.053 ,0.001 ,0.178 
100055,0.000 ,0.439 ,0.004 ,0.004 ,0.002 ,0.000 ,0.013 ,0.010 ,0.623 ,0.003 ,0.000 ,0.001 ,0.000 ,0.002 ,0.002 ,0.000 ,0.619 ,0.001 ,0.002 ,0.115 ,0.055 ,0.000 ,0.141 
100056,0.000 ,0.464 ,0.005 ,0.001 ,0.002 ,0.000 ,0.015 ,0.019 ,0.528 ,0.004 ,0.000 ,0.001 ,0.000 ,0.002 ,0.002 ,0.000 ,0.554 ,0.004 ,0.002 ,0.086 ,0.031 ,0.000 ,0.093 
100057,0.000 ,0.475 ,0.004 ,0.000 ,0.001 ,0.000 ,0.003 ,0.017 ,0.473 ,0.006 ,0.000 ,0.001 ,0.000 ,0.001 ,0.003 ,0.000 ,0.556 ,0.003 ,0.004 ,0.068 ,0.010 ,0.000 ,0.056 
100058,0.000 ,0.474 ,0.026 ,0.010 ,0.002 ,0.000 ,0.073 ,0.012 ,0.604 ,0.003 ,0.000 ,0.002 ,0.000 ,0.002 ,0.001 ,0.000 ,0.607 ,0.002 ,0.001 ,0.182 ,0.093 ,0.002 ,0.381 
100059,0.000 ,0.444 ,0.024 ,0.024 ,0.003 ,0.000 ,0.054 ,0.011 ,0.621 ,0.003 ,0.000 ,0.003 ,0.000 ,0.003 ,0.002 ,0.000 ,0.637 ,0.002 ,0.001 ,0.171 ,0.125 ,0.002 ,0.355 
100060,0.000 ,0.451 ,0.014 ,0.007 ,0.002 ,0.000 ,0.032 ,0.012 ,0.619 ,0.003 ,0.000 ,0.002 ,0.000 ,0.002 ,0.002 ,0.000 ,0.625 ,0.002 ,0.002 ,0.148 ,0.066 ,0.001 ,0.223 
100061,0.000 ,0.452 ,0.007 ,0.003 ,0.002 ,0.000 ,0.025 ,0.015 ,0.583 ,0.004 ,0.000 ,0.002 ,0.000 ,0.002 ,0.002 ,0.000 ,0.581 ,0.003 ,0.002 ,0.120 ,0.056 ,0.001 ,0.137 
100062,0.000 ,0.476 ,0.007 ,0.001 ,0.002 ,0.000 ,0.012 ,0.022 ,0.507 ,0.005 ,0.000 ,0.002 ,0.000 ,0.002 ,0.003 ,0.000 ,0.555 ,0.004 ,0.004 ,0.084 ,0.026 ,0.000 ,0.091 
100063,0.000 ,0.479 ,0.033 ,0.006 ,0.002 ,0.000 ,0.060 ,0.021 ,0.538 ,0.002 ,0.000 ,0.002 ,0.000 ,0.002 ,0.003 ,0.000 ,0.551 ,0.005 ,0.001 ,0.075 ,0.047 ,0.002 ,0.276 
100064,0.000 ,0.464 ,0.027 ,0.031 ,0.002 ,0.000 ,0.105 ,0.012 ,0.560 ,0.003 ,0.000 ,0.002 ,0.000 ,0.003 ,0.001 ,0.000 ,0.586 ,0.002 ,0.001 ,0.249 ,0.192 ,0.003 ,0.496 
100065,0.000 ,0.438 ,0.052 ,0.057 ,0.003 ,0.000 ,0.074 ,0.011 ,0.612 ,0.002 ,0.000 ,0.006 ,0.000 ,0.003 ,0.003 ,0.000 ,0.647 ,0.002 ,0.002 ,0.204 ,0.175 ,0.005 ,0.439 
100066,0.000 ,0.456 ,0.031 ,0.014 ,0.002 ,0.000 ,0.061 ,0.015 ,0.616 ,0.004 ,0.000 ,0.004 ,0.000 ,0.002 ,0.003 ,0.000 ,0.614 ,0.004 ,0.002 ,0.169 ,0.084 ,0.005 ,0.285 
100067,0.000 ,0.476 ,0.018 ,0.004 ,0.002 ,0.000 ,0.045 ,0.026 ,0.548 ,0.005 ,0.000 ,0.003 ,0.000 ,0.002 ,0.003 ,0.000 ,0.558 ,0.006 ,0.003 ,0.120 ,0.053 ,0.002 ,0.175 
100068,0.000 ,0.483 ,0.018 ,0.004 ,0.002 ,0.000 ,0.018 ,0.023 ,0.549 ,0.005 ,0.000 ,0.004 ,0.000 ,0.002 ,0.005 ,0.000 ,0.586 ,0.005 ,0.006 ,0.122 ,0.039 ,0.001 ,0.145 
100069,0.000 ,0.506 ,0.037 ,0.004 ,0.001 ,0.000 ,0.093 ,0.025 ,0.526 ,0.003 ,0.000 ,0.002 ,0.000 ,0.001 ,0.002 ,0.000 ,0.512 ,0.007 ,0.001 ,0.083 ,0.049 ,0.003 ,0.341 
100070,0.000 ,0.488 ,0.010 ,0.004 ,0.001 ,0.000 ,0.137 ,0.019 ,0.491 ,0.004 ,0.000 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.461 ,0.004 ,0.000 ,0.203 ,0.128 ,0.002 ,0.486 
100071,0.000 ,0.459 ,0.024 ,0.024 ,0.002 ,0.000 ,0.119 ,0.014 ,0.554 ,0.003 ,0.000 ,0.003 ,0.000 ,0.003 ,0.001 ,0.000 ,0.556 ,0.003 ,0.001 ,0.272 ,0.200 ,0.004 ,0.493 
100072,0.000 ,0.452 ,0.044 ,0.015 ,0.002 ,0.000 ,0.090 ,0.017 ,0.619 ,0.004 ,0.000 ,0.007 ,0.000 ,0.003 ,0.002 ,0.000 ,0.578 ,0.004 ,0.002 ,0.227 ,0.126 ,0.010 ,0.334 
100073,0.000 ,0.468 ,0.034 ,0.011 ,0.002 ,0.000 ,0.063 ,0.021 ,0.593 ,0.006 ,0.000 ,0.007 ,0.000 ,0.002 ,0.003 ,0.000 ,0.589 ,0.006 ,0.004 ,0.171 ,0.082 ,0.006 ,0.231 
100074,0.000 ,0.484 ,0.032 ,0.006 ,0.002 ,0.000 ,0.044 ,0.029 ,0.555 ,0.007 ,0.000 ,0.008 ,0.000 ,0.002 ,0.005 ,0.000 ,0.576 ,0.007 ,0.006 ,0.141 ,0.060 ,0.003 ,0.179 
100075,0.001 ,0.507 ,0.306 ,0.016 ,0.000 ,0.000 ,0.128 ,0.055 ,0.658 ,0.006 ,0.000 ,0.018 ,0.000 ,0.001 ,0.006 ,0.000 ,0.565 ,0.008 ,0.002 ,0.184 ,0.053 ,0.017 ,0.448 
100076,0.000 ,0.504 ,0.111 ,0.013 ,0.001 ,0.000 ,0.182 ,0.029 ,0.564 ,0.004 ,0.000 ,0.006 ,0.000 ,0.002 ,0.002 ,0.000 ,0.520 ,0.009 ,0.001 ,0.158 ,0.088 ,0.016 ,0.448 
100077,0.000 ,0.494 ,0.038 ,0.009 ,0.002 ,0.000 ,0.185 ,0.026 ,0.524 ,0.005 ,0.000 ,0.004 ,0.000 ,0.002 ,0.001 ,0.000 ,0.480 ,0.007 ,0.001 ,0.186 ,0.125 ,0.005 ,0.445 
100078,0.000 ,0.451 ,0.011 ,0.011 ,0.002 ,0.000 ,0.106 ,0.014 ,0.427 ,0.003 ,0.000 ,0.002 ,0.000 ,0.002 ,0.000 ,0.000 ,0.442 ,0.003 ,0.000 ,0.316 ,0.196 ,0.004 ,0.520 
100079,0.000 ,0.450 ,0.029 ,0.018 ,0.002 ,0.000 ,0.115 ,0.014 ,0.569 ,0.003 ,0.000 ,0.004 ,0.000 ,0.002 ,0.001 ,0.000 ,0.538 ,0.003 ,0.001 ,0.327 ,0.203 ,0.004 ,0.472 
100080,0.000 ,0.446 ,0.047 ,0.010 ,0.002 ,0.000 ,0.095 ,0.019 ,0.623 ,0.004 ,0.000 ,0.008 ,0.000 ,0.002 ,0.002 ,0.000 ,0.544 ,0.005 ,0.001 ,0.271 ,0.122 ,0.012 ,0.315 
100081,0.000 ,0.472 ,0.042 ,0.009 ,0.002 ,0.000 ,0.062 ,0.024 ,0.604 ,0.005 ,0.000 ,0.010 ,0.000 ,0.002 ,0.003 ,0.000 ,0.571 ,0.007 ,0.003 ,0.200 ,0.092 ,0.009 ,0.209 
100082,0.000 ,0.490 ,0.044 ,0.010 ,0.002 ,0.001 ,0.042 ,0.030 ,0.557 ,0.008 ,0.001 ,0.014 ,0.000 ,0.002 ,0.006 ,0.000 ,0.584 ,0.009 ,0.010 ,0.162 ,0.070 ,0.003 ,0.176 
100083,0.001 ,0.512 ,0.379 ,0.014 ,0.000 ,0.000 ,0.243 ,0.054 ,0.645 ,0.006 ,0.000 ,0.012 ,0.001 ,0.000 ,0.005 ,0.000 ,0.528 ,0.009 ,0.001 ,0.225 ,0.042 ,0.056 ,0.336 
100084,0.001 ,0.516 ,0.400 ,0.016 ,0.000 ,0.000 ,0.292 ,0.052 ,0.617 ,0.005 ,0.000 ,0.011 ,0.001 ,0.001 ,0.005 ,0.000 ,0.524 ,0.013 ,0.001 ,0.175 ,0.041 ,0.129 ,0.515 
100085,0.001 ,0.508 ,0.402 ,0.036 ,0.000 ,0.000 ,0.304 ,0.055 ,0.626 ,0.007 ,0.000 ,0.023 ,0.001 ,0.001 ,0.006 ,0.000 ,0.562 ,0.015 ,0.003 ,0.222 ,0.078 ,0.197 ,0.536 
100086,0.001 ,0.507 ,0.401 ,0.039 ,0.000 ,0.000 ,0.303 ,0.053 ,0.631 ,0.007 ,0.000 ,0.026 ,0.001 ,0.001 ,0.005 ,0.000 ,0.564 ,0.014 ,0.003 ,0.258 ,0.082 ,0.209 ,0.520 
100087,0.001 ,0.504 ,0.387 ,0.054 ,0.001 ,0.000 ,0.276 ,0.048 ,0.633 ,0.006 ,0.000 ,0.029 ,0.001 ,0.002 ,0.006 ,0.000 ,0.563 ,0.016 ,0.003 ,0.174 ,0.099 ,0.179 ,0.502 
100088,0.000 ,0.484 ,0.319 ,0.107 ,0.002 ,0.001 ,0.209 ,0.028 ,0.616 ,0.003 ,0.000 ,0.027 ,0.000 ,0.004 ,0.006 ,0.000 ,0.605 ,0.012 ,0.004 ,0.190 ,0.134 ,0.096 ,0.484 
100089,0.000 ,0.485 ,0.182 ,0.028 ,0.001 ,0.000 ,0.232 ,0.028 ,0.588 ,0.004 ,0.000 ,0.016 ,0.000 ,0.002 ,0.002 ,0.000 ,0.508 ,0.009 ,0.001 ,0.300 ,0.146 ,0.048 ,0.483 
100090,0.000 ,0.460 ,0.133 ,0.036 ,0.002 ,0.000 ,0.167 ,0.018 ,0.586 ,0.003 ,0.000 ,0.012 ,0.000 ,0.002 ,0.001 ,0.000 ,0.553 ,0.005 ,0.001 ,0.349 ,0.189 ,0.023 ,0.523 
100091,0.000 ,0.437 ,0.065 ,0.029 ,0.002 ,0.000 ,0.130 ,0.014 ,0.573 ,0.002 ,0.000 ,0.009 ,0.000 ,0.002 ,0.001 ,0.000 ,0.533 ,0.004 ,0.001 ,0.427 ,0.219 ,0.014 ,0.542 
100092,0.000 ,0.447 ,0.064 ,0.014 ,0.002 ,0.000 ,0.124 ,0.019 ,0.596 ,0.003 ,0.000 ,0.010 ,0.000 ,0.002 ,0.001 ,0.000 ,0.508 ,0.005 ,0.001 ,0.350 ,0.161 ,0.013 ,0.390 
100093,0.000 ,0.450 ,0.054 ,0.008 ,0.002 ,0.000 ,0.097 ,0.021 ,0.624 ,0.003 ,0.000 ,0.010 ,0.000 ,0.002 ,0.002 ,0.000 ,0.531 ,0.006 ,0.001 ,0.291 ,0.117 ,0.016 ,0.295 
100094,0.000 ,0.485 ,0.060 ,0.011 ,0.002 ,0.000 ,0.055 ,0.026 ,0.590 ,0.006 ,0.000 ,0.013 ,0.000 ,0.002 ,0.004 ,0.000 ,0.600 ,0.008 ,0.005 ,0.190 ,0.079 ,0.006 ,0.211 
100095,0.000 ,0.498 ,0.065 ,0.011 ,0.002 ,0.000 ,0.031 ,0.035 ,0.530 ,0.010 ,0.001 ,0.018 ,0.000 ,0.002 ,0.007 ,0.000 ,0.587 ,0.008 ,0.014 ,0.156 ,0.058 ,0.001 ,0.183 
100096,0.002 ,0.504 ,0.489 ,0.032 ,0.000 ,0.000 ,0.483 ,0.063 ,0.609 ,0.003 ,0.000 ,0.021 ,0.000 ,0.000 ,0.011 ,0.000 ,0.560 ,0.005 ,0.003 ,0.539 ,0.087 ,0.019 ,0.263 
