Gridcode,longitude,latitude,altitude
100368,-79.909,35.223,129.532
100369,-79.55,35.223,147.32
100370,-79.191,35.223,100.529
100371,-78.831,35.223,54.406
100372,-78.472,35.223,54.831
100373,-78.113,35.223,43.795
100374,-77.753,35.223,30.308
100375,-77.394,35.223,15.133
100376,-77.035,35.224,12.296
100377,-76.701,35.222,5.299
100378,-83.489,35.484,937.34
100379,-83.143,35.516,1113.893
100380,-82.784,35.516,936.566
100381,-82.425,35.516,773.984
100382,-82.065,35.516,432.481
100383,-81.706,35.516,396.244
100384,-81.347,35.516,289.643
100385,-80.987,35.516,252.66
100386,-80.628,35.516,230.68
100387,-80.269,35.516,204.242
100388,-79.909,35.516,193.43
100389,-79.55,35.516,138.921
100390,-79.191,35.516,103.799
100391,-78.831,35.516,90.784
100392,-78.472,35.516,65.941
100393,-78.113,35.516,45.067
100394,-77.753,35.516,29.352
100395,-77.394,35.516,17.614
100396,-77.04,35.519,14.113
100397,-76.684,35.538,6.926
100398,-76.31,35.521,5.036
100399,-76.006,35.558,4.25
100400,-82.772,35.8,791.896
100401,-82.425,35.808,1012.846
100402,-82.065,35.808,747.548
100403,-81.706,35.808,410.979
100404,-81.347,35.808,351.21
100405,-80.987,35.808,285.587
100406,-80.628,35.808,235.16
100407,-80.269,35.808,229.972
100408,-79.909,35.808,220.562
100409,-79.55,35.808,198.017
100410,-79.191,35.808,144.771
100411,-78.831,35.808,110.413
100412,-78.472,35.808,92.267
100413,-78.113,35.808,65.352
100414,-77.753,35.808,36.099
100415,-77.394,35.808,20.711
100416,-77.035,35.808,16.032
100417,-76.677,35.804,9.354
100418,-76.316,35.807,6.391
100419,-75.946,35.804,7.194
100420,-82.048,36.064,1093.71
100421,-81.706,36.099,858.362
100422,-81.347,36.099,466.487
100423,-80.987,36.099,372.312
100424,-80.628,36.099,274.192
100425,-80.269,36.099,261.254
100426,-79.909,36.099,260.138
100427,-79.55,36.099,206.327
100428,-79.191,36.099,193.2
100429,-78.831,36.099,124.811
100430,-78.472,36.099,111.347
100431,-78.113,36.099,81.967
100432,-77.753,36.099,41.042
100433,-77.394,36.099,25.277
100434,-77.035,36.099,21.838
100435,-76.684,36.115,13.893
100436,-76.329,36.141,7.341
100437,-81.662,36.365,1055.304
100438,-81.347,36.388,840.385
100439,-80.987,36.388,555.484
100440,-80.628,36.388,340.984
100441,-80.269,36.388,301.993
100442,-79.909,36.388,235.293
100443,-79.55,36.388,204.013
100444,-79.191,36.388,174.212
100445,-78.831,36.388,165.753
100446,-78.472,36.388,128.951
100447,-78.113,36.388,98.528
100448,-77.753,36.388,64.346
100449,-77.394,36.388,30.679
100450,-77.035,36.388,19.913
100451,-76.675,36.39,16.91
100452,-76.319,36.39,9.268
100453,-76.001,36.379,4.088
100454,-83.117,36.688,506.785
100455,-82.784,36.708,559.311
100456,-82.425,36.708,562.822
100457,-82.063,36.713,623.6
100458,-81.691,36.697,840.072
100459,-81.347,36.677,935.592
100460,-80.989,36.677,793.688
100461,-80.628,36.677,679.667
100462,-80.269,36.677,504.592
100463,-79.911,36.677,286.146
100464,-79.562,36.686,231.602
100465,-79.187,36.68,165.207
100466,-78.831,36.677,129.144
100467,-78.472,36.677,116.661
100468,-78.113,36.677,97.333
100469,-77.753,36.677,78.045
100470,-77.392,36.677,33.893
100471,-77.046,36.682,22.461
100472,-82.738,36.936,735.535
100473,-82.424,36.965,674.499
100474,-82.065,36.965,702.096
100475,-81.706,36.965,779.167
100476,-81.347,36.965,851.243
100477,-80.987,36.965,741.291
100478,-80.628,36.964,711.209
100479,-80.269,36.965,698.157
100480,-79.909,36.965,360.982
100481,-79.55,36.965,260.267
100482,-79.191,36.965,190.882
100483,-78.831,36.965,147.235
100484,-78.472,36.965,149.74
100485,-78.113,36.965,126.977
100486,-77.753,36.965,87.531
100487,-77.394,36.965,40.329
100488,-77.035,36.965,32.209
100489,-76.713,36.958,22.978
100490,-82.394,37.187,555.197
100491,-82.063,37.249,584.016
100492,-81.706,37.251,684.851
100493,-81.347,37.251,821.217
100494,-80.987,37.251,774.772
100495,-80.63,37.254,679.097
100496,-80.269,37.251,627.258
100497,-79.898,37.247,412.403
100498,-79.55,37.251,273.425
100499,-79.191,37.244,234.722
100500,-78.831,37.251,199.39
100501,-78.472,37.251,147.64
100502,-78.113,37.251,120.918
100503,-77.753,37.251,84.393
100504,-77.397,37.253,44.342
100505,-77.04,37.252,22.72
100506,-76.683,37.274,20.518
100507,-75.903,37.272,3.344
100508,-82.014,37.551,462.55
100509,-81.706,37.537,514.608
100510,-81.347,37.537,714.711
100511,-80.987,37.537,709.057
100512,-80.628,37.537,695.203
100513,-80.269,37.537,721.569
100514,-79.909,37.537,468.148
100515,-79.55,37.537,469.141
100516,-79.19,37.545,289.805
100517,-78.831,37.537,198.314
100518,-78.472,37.537,144.55
100519,-78.113,37.537,99.977
100520,-77.754,37.537,85.35
100521,-77.38,37.538,50.723
100522,-77.035,37.537,27.375
100523,-76.681,37.533,22.79
100524,-82.065,37.821,400.617
100525,-81.706,37.821,539.963
100526,-81.347,37.821,656.817
100527,-80.987,37.821,737.598
100528,-80.628,37.821,715.636
100529,-80.269,37.821,717.9
100530,-79.908,37.822,580.816
100531,-79.551,37.822,511.795
100532,-79.188,37.823,605.689
100533,-78.831,37.821,321.587
100534,-78.472,37.821,137.837
100535,-78.113,37.821,107.833
100536,-77.753,37.821,90.887
100537,-77.394,37.821,54.973
100538,-77.036,37.82,39.181
100539,-76.675,37.825,26.571
100540,-76.391,37.825,18.65
100541,-75.608,37.829,7.969
100542,-82.409,38.115,285.236
100543,-82.065,38.105,309.389
100544,-81.706,38.105,369.594
100545,-81.347,38.105,462.482
100546,-80.987,38.105,602.852
100547,-80.628,38.105,908.219
100548,-80.269,38.105,889.39
100549,-79.909,38.105,785.641
100550,-79.55,38.105,629.924
100551,-79.198,38.102,567.439
100552,-78.829,38.106,422.325
100553,-78.472,38.106,187.467
100554,-78.113,38.105,138.963
100555,-77.753,38.105,100.421
100556,-77.394,38.105,60.169
100557,-77.045,38.099,32.963
100558,-76.681,38.076,24.169
100559,-75.596,38.106,8.906
100560,-75.304,38.122,4.514
100561,-82.398,38.35,233.349
100562,-82.065,38.387,255.292
100563,-81.706,38.387,266.117
100564,-81.347,38.387,343.123
100565,-80.987,38.387,453.89
100566,-80.628,38.387,702.275
100567,-80.269,38.387,1003.663
100568,-79.909,38.387,981.938
100569,-79.55,38.387,897.613
100570,-79.191,38.387,682.329
100571,-78.829,38.384,429.834
100572,-78.472,38.387,431.847
100573,-78.113,38.387,146.409
100574,-77.753,38.387,104.346
100575,-77.405,38.386,55.917
100576,-77.04,38.398,28.155
100577,-76.671,38.389,29.287
100578,-75.952,38.401,2.771
100579,-75.598,38.387,14.135
100580,-75.247,38.392,10.889
100581,-82.046,38.666,228.012
100582,-81.706,38.668,265.184
100583,-81.347,38.668,299.624
100584,-80.987,38.668,343.509
100585,-80.628,38.668,426.681
100586,-80.269,38.668,768.271
100587,-79.909,38.668,960.484
100588,-79.55,38.668,1001.092
100589,-79.191,38.668,726.64
100590,-78.831,38.668,453.691
100591,-78.472,38.668,446.572
100592,-78.113,38.668,242.761
100593,-77.753,38.668,125.802
100594,-77.399,38.669,80.787
100595,-77.03,38.668,44.861
100596,-76.691,38.666,37.956
100597,-75.952,38.67,10.198
100598,-75.598,38.668,13.407
100599,-75.246,38.663,10.388
100600,-81.678,38.938,246.169
100601,-81.347,38.948,277.622
100602,-80.987,38.948,307.821
100603,-80.628,38.948,345.817
100604,-80.269,38.948,494.962
100605,-79.909,38.948,702.226
100606,-79.55,38.948,936.306
100607,-79.191,38.948,585.873
100608,-78.831,38.948,565.654
100609,-78.472,38.948,362.746
100610,-78.113,38.948,260.339
100611,-77.753,38.948,168.976
100612,-77.396,38.949,97.946
100613,-77.036,38.963,78.304
100614,-76.677,38.949,34.947
100615,-75.957,38.948,16.418
100616,-75.598,38.948,16.535
100617,-81.346,39.225,262.164
100618,-80.987,39.227,302.478
100619,-80.628,39.227,352.853
100620,-80.269,39.227,378.847
100621,-79.909,39.227,534.44
100622,-79.55,39.227,786.734
100623,-79.191,39.227,710.929
100624,-78.831,39.227,428.855
100625,-78.472,39.227,377.59
100626,-78.111,39.228,208.883
100627,-77.753,39.227,173.13
100628,-77.394,39.227,126.096
100629,-77.035,39.227,151.796
100630,-76.701,39.205,66.986
100631,-75.956,39.226,17.584
100632,-75.603,39.222,13.967
100633,-74.858,39.246,9.646
100634,-80.953,39.476,280.329
100635,-80.628,39.505,354.072
100636,-80.269,39.505,368.697
100637,-79.909,39.505,479.149
100638,-79.55,39.505,690.406
100639,-79.191,39.505,717.063
100640,-78.831,39.505,359.585
100641,-78.472,39.505,314.856
100642,-78.113,39.505,234.817
100643,-77.753,39.505,168.252
100644,-77.394,39.505,189.788
100645,-77.035,39.505,195.847
100646,-76.676,39.506,159.832
100647,-76.32,39.51,80.355
100648,-75.932,39.516,29.728
100649,-75.612,39.509,10.852
100650,-75.238,39.505,25.318
100651,-74.879,39.505,26.718
100652,-74.523,39.507,11.969
100653,-80.627,39.78,368.48
100654,-80.269,39.781,380.305
100655,-79.909,39.781,366.616
100656,-79.55,39.781,593.863
100657,-79.191,39.781,705.18
100658,-78.831,39.781,572.313
100659,-78.472,39.781,398.208
100660,-78.113,39.781,274.092
100661,-77.753,39.781,189.253
100662,-77.394,39.781,273.376
100663,-77.035,39.781,194.149
100664,-76.675,39.781,226.193
100665,-76.316,39.781,152.201
100666,-75.957,39.781,129.002
100667,-75.603,39.785,67.809
100668,-75.238,39.781,21.482
100669,-74.879,39.781,33.158
100670,-74.52,39.781,32.193
100671,-74.222,39.791,15.702
100672,-80.589,40.051,343.593
100673,-80.269,40.057,366.848
100674,-79.909,40.057,326.238
100675,-79.55,40.057,443.584
100676,-79.191,40.057,656.839
100677,-78.831,40.057,651.822
100678,-78.472,40.057,418.051
100679,-78.113,40.057,398.983
100680,-77.753,40.057,307.32
100681,-77.394,40.057,279.84
100682,-77.035,40.057,184.555
